구분,명칭,주소,위도,경도,개수,담당부서,기준일자
도시공원,마현산공원,경상북도 영천시 교촌동 11-36,35.9723852,128.926406,21,공원관리사업소,2022-04-18
도시공원,화룡공원,경상북도 영천시 화룡동 산 43,35.9778581,128.92226,3,공원관리사업소,2022-04-18
도시공원,완산근린공원,경상북도 영천시 완산동 742-6,35.9627578,128.94231,32,공원관리사업소,2022-04-18
도시공원,채신1공원,경상북도 영천시 채신동 749-6,35.9165039,128.95353,16,공원관리사업소,2022-04-18
도시공원,채신2공원,경상북도 영천시 채신동 765-1,35.9110048,128.956452,8,공원관리사업소,2022-04-18
도시공원,채신3공원,경상북도 영천시 채신동 769,35.9068841,128.954966,21,공원관리사업소,2022-04-18
도시공원,문화1공원,경상북도 영천시 야사동 186-2,35.9735855,128.9464,3,공원관리사업소,2022-04-18
도시공원,문화2공원,경상북도 영천시 야사동 186-5,35.9741119,128.946723,2,공원관리사업소,2022-04-18
도시공원,망정1공원,경상북도 영천시 망정동 518-4,35.9879243,128.952329,11,공원관리사업소,2022-04-18
도시공원,망정2공원,경상북도 영천시 망정동 409-16,35.9900279,128.955951,2,공원관리사업소,2022-04-18
도시공원,망정3공원,경상북도 영천시 망정동 417-5,35.9875102,128.956177,3,공원관리사업소,2022-04-18
도시공원,야사공원,경상북도 영천시 야사동 334-39,35.9740904,128.943042,11,공원관리사업소,2022-04-18
도시공원,문외공원,경상북도 영천시 문외동 5-4,35.974131,128.93719,7,공원관리사업소,2022-04-18
도시공원,문내외1공원,경상북도 영천시 문내동 13-1,35.9742867,128.931441,6,공원관리사업소,2022-04-18
도시공원,문내외2공원,경상북도 영천시 문외동 247-7,35.9727787,128.934996,4,공원관리사업소,2022-04-18
도시공원,도남공원,경상북도 영천시 도남동 173-2,35.9300822,128.93801,0,공원관리사업소,2022-04-18
도시공원,금노2공원(주남공원),경상북도 영천시 금노동 604-17,35.9594648,128.931956,12,공원관리사업소,2022-04-18
도시공원,봉동공원,경상북도 영천시 도남동 76 일원,35.932942,128.941149,22,공원관리사업소,2022-04-18
도시공원,중앙공원,경상북도 영천시 문외동 155-1,35.9706653,128.935299,15,공원관리사업소,2022-04-18
도시공원,금노1공원(담안길공원),경상북도 영천시 금노동 542-13,35.9611227,128.930278,2,공원관리사업소,2022-04-18
도시공원,금노2소공원,경상북도 영천시 금노동 556,95.9622016,128.927622,2,공원관리사업소,2022-04-18
도시공원,완산1공원,경상북도 영천시 완산동 1471,35.9670407,128.946029,4,공원관리사업소,2022-04-18
도시공원,완산2공원,경상북도 영천시 완산동 1465,35.9671561,128.941561,8,공원관리사업소,2022-04-18
도시공원,조양공원,경상북도 영천시 창구동 32,35.967435,128.932781,6,공원관리사업소,2022-04-18
