연번,상호,주소,전화번호
1,(주)오리장림관광농원자동차야영장,경상북도 영천시 화북면 자천리 2212 ,
2,글램코티지,경상북도 영천시 임고면 매호리 574-4 ,
3,농업회사법인 주식회사 아우노펠리스,경상북도 영천시 언하동 801 ,
4,늘푸른체험학교,경상북도 영천시 대창면 신광리 762 ,054-337-1789
5,두드림 캠핑장,경상북도 영천시 청통면 죽정리 526 ,
6,드림랜드오토캠핑장,경상북도 영천시 고경면 용전리 388 ,054-334-6900
7,별무리,"경상북도 영천시 화북면 정각리 1226-3 (1226-2,1226-4) ",
8,별밤글램핑,경상북도 영천시 임고면 평천리 6-3 ,054-337-2007
9,별빛야영장,경상북도 영천시 화북면 정각리 689 ,054-330-6400
10,삼밭골글램핑,경상북도 영천시 야사동 619 ,054-331-5583
11,영천 구룡산 오토캠핑장,경상북도 영천시 북안면 상리 297-3 ,
12,영천 솔롱고 글램핑,경상북도 영천시 금호읍 약남리 936-4 ,054-338-0146
13,영천시공예촌캠핑체험장,경상북도 영천시 자양면 성곡리 537 ,054-332-0027
14,은해로운 캠핑장,경상북도 영천시 청통면 치일리 291-1 ,
15,천문대별빛정원,경상북도 영천시 화북면 정각리 19 ,054-337-1826
16,치산관광지 캠핑장,경상북도 영천시 신녕면 치산리 1323 ,054-330-6470
17,키즈팜야영장(금박산관광농원),경상북도 영천시 대창면 대창리 969-3 ,
18,휘명빌리지,경상북도 영천시 신녕면 연정리 1030,
19,별밤캠프,경상북도 영천시 화북면 자천리 2319,
20,캠프공존,경상북도 영천시 금호읍 신대리 397,
21,자호천생태학교,경상북도 영천시 자양면 신방로 626,
