구분,세대수,인구수(계),인구수(남),인구수(여),18세이상인구수(계),18세이상인구수(남),18세이상인구수(여),65세이상인구수(계),65세이상인구수(남),65세이상인구수(여),데이터기준일자
중앙동,4905,9695,4819,4876,8544,4212,4332,2499,1119,1380,2024-05-03
풍남동,2275,3612,1796,1816,3432,1700,1732,1449,606,843,2024-05-03
노송동,5495,10457,5125,5332,9491,4600,4891,3244,1375,1869,2024-05-03
완산동,2604,4898,2405,2493,4421,2145,2276,1584,659,925,2024-05-03
동서학동,3109,5847,2843,3004,5371,2595,2776,2050,887,1163,2024-05-03
서서학동,4305,7950,3850,4100,7366,3551,3815,2637,1097,1540,2024-05-03
중화산1동,6323,13506,6409,7097,11918,5575,6343,3001,1300,1701,2024-05-03
중화산2동,9250,19060,9562,9498,16126,8043,8083,2494,1161,1333,2024-05-03
서신동,17521,39149,19018,20131,33099,15911,17188,5692,2469,3223,2024-05-03
평화1동,7028,11956,5694,6262,11021,5184,5837,3878,1517,2361,2024-05-03
평화2동,18583,43410,20818,22592,36608,17387,19221,8287,3588,4699,2024-05-03
삼천1동,5330,11589,5635,5954,10173,4888,5285,2531,1133,1398,2024-05-03
삼천2동,6096,12492,5965,6527,11252,5323,5929,3027,1350,1677,2024-05-03
삼천3동,9145,20813,9986,10827,18006,8556,9450,4104,1772,2332,2024-05-03
효자1동,5903,12942,6177,6765,11264,5318,5946,3174,1331,1843,2024-05-03
효자2동,4470,9194,4392,4802,8259,3903,4356,2328,1005,1323,2024-05-03
효자3동,5974,13905,6489,7416,12172,5603,6569,3227,1366,1861,2024-05-03
효자4동,16704,38615,18842,19773,31072,14974,16098,4213,1885,2328,2024-05-03
효자5동,18501,36192,18088,18104,31013,15393,15620,2513,1110,1403,2024-05-03
진북동,6691,12867,6200,6667,11815,5643,6172,4312,1779,2533,2024-05-03
인후1동,7426,17288,8293,8995,14574,6954,7620,3710,1597,2113,2024-05-03
인후2동,5723,10325,5064,5261,9474,4620,4854,3083,1348,1735,2024-05-03
인후3동,14454,30283,14947,15336,25504,12526,12978,4427,1864,2563,2024-05-03
덕진동,10950,20590,10430,10160,17607,8899,8708,3142,1349,1793,2024-05-03
금암1동,5724,7932,4324,3608,7579,4144,3435,1469,650,819,2024-05-03
금암2동,5182,9500,4632,4868,8684,4214,4470,2741,1141,1600,2024-05-03
팔복동,4586,7492,4076,3416,6964,3798,3166,2127,941,1186,2024-05-03
우아1동,5929,11950,5978,5972,10336,5168,5168,2327,1073,1254,2024-05-03
우아2동,7685,13926,7328,6598,12512,6615,5897,2661,1225,1436,2024-05-03
호성동,7893,18707,8884,9823,15962,7505,8457,3790,1638,2152,2024-05-03
송천1동,24312,64805,32039,32766,49629,24285,25344,5563,2453,3110,2024-05-03
송천2동,10569,25234,12293,12941,21409,10374,11035,4358,1919,2439,2024-05-03
조촌동,6248,12064,6153,5911,10629,5403,5226,2713,1180,1533,2024-05-03
여의동,7131,15946,8086,7860,13615,6846,6769,2962,1307,1655,2024-05-03
혁신동,13005,35929,17669,18260,26127,12701,13426,2006,929,1077,2024-05-03
